date,player_name,team,sportsbook,model_prob_pct,barrel_pct,ev_pct,edge_pct,opening_american,opening_implied_pct,opening_no_vig_pct,closing_american,closing_implied_pct,closing_no_vig_pct,clv_pp,clv_pct_rel,beats_close,notes,logged_at
2026-05-17,Michael Harris II,ATL,,20.05,12.30,40.35,5.72,600,14.286,13.179,,,,,,,,2026-05-17T14:20:49Z
2026-05-17,Matt Olson,ATL,,25.25,11.40,16.15,3.24,360,21.739,20.222,,,,,,,,2026-05-17T14:20:49Z
2026-05-17,Liam Hicks,MIA,,16.19,5.00,13.33,2.84,600,14.286,13.179,,,,,,,,2026-05-17T14:20:49Z
2026-05-17,Jonathan Aranda,TB,,15.36,6.30,30.56,2.10,750,11.765,10.756,,,,,,,,2026-05-17T14:20:49Z
2026-05-17,Mike Trout,LAA,,16.07,11.80,12.49,2.10,600,14.286,13.179,,,,,,,,2026-05-17T14:20:50Z
2026-05-17,Angel Martínez,CLE,,15.59,7.20,9.13,2.24,600,14.286,13.179,,,,,,,,2026-05-17T14:20:50Z
2026-05-19,Xavier Edwards,MIA,,13.99,4.90,36.44,5.13,1000,9.091,8.312,,,,,,,,2026-05-19T19:25:04Z
2026-05-19,Spencer Steer,CIN,,19.08,10.40,19.25,2.18,525,16.000,14.760,,,,,,,,2026-05-19T19:25:04Z
2026-05-19,Jac Caglianone,KC,,11.80,11.20,18.00,2.44,900,10.000,9.143,,,,,,,,2026-05-19T19:25:05Z
2026-05-20,JJ Bleday,CIN,,21.97,10.30,39.10,7.25,575,14.815,13.667,,,,,,,,2026-05-20T15:52:28Z
2026-05-20,Adley Rutschman,BAL,,16.32,7.70,38.72,4.18,750,11.765,10.756,,,,,,,,2026-05-20T15:52:28Z
2026-05-20,Xavier Edwards,MIA,,11.83,5.30,30.13,2.97,1000,9.091,8.312,,,,,,,,2026-05-20T15:52:28Z
2026-05-20,Byron Buxton,MIN,,25.25,13.70,7.31,2.41,325,23.529,21.888,,,,,,,,2026-05-20T15:52:28Z
2026-05-21,JJ Wetherholt,STL,,14.25,5.20,14.00,2.18,700,12.500,11.531,,,,,,,,2026-05-21T15:59:31Z
2026-05-22,Jake Meyers,HOU,,10.75,6.60,39.75,2.53,1200,7.692,7.033,,,,,,,,2026-05-22T16:41:18Z
2026-05-22,Braden Shewmake,HOU,,12.20,3.60,34.20,3.34,1000,9.091,8.312,,,,,,,,2026-05-22T16:41:18Z
2026-05-22,Yordan Alvarez,HOU,,21.64,11.80,21.18,2.83,460,17.857,16.473,,,,,,,,2026-05-22T16:41:18Z
2026-05-22,Christian Walker,HOU,,18.07,8.30,21.97,2.64,575,14.815,13.667,,,,,,,,2026-05-22T16:41:18Z
2026-05-22,Jacob Young,WSH,,10.58,4.00,32.25,2.22,1150,8.000,7.314,,,,,,,,2026-05-22T16:41:18Z
